Població a 1 de gener. Per sexe
Municipis. 2025
"Font: Idescat, a partir del Padró continu de l'INE."
"Nota: A partir de 2023 el Padró municipal d'habitants només ofereix la xifra de població dels municipis, les comarques i Aran i les províncies.
La xifra total de Catalunya s'ofereix a títol informatiu."
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pmh&n=446&geo=mun&lang=ca
Codi,Nom,Homes,Dones,Total
430635,"Galera, la",378,348,726
080879,Gallifa,95,76,171
430640,Gandesa,1591,1559,3150
430653,Garcia,288,263,551
430666,"Garidells, els",104,107,211
080885,"Garriga, la",8406,9020,17426
170754,Garrigàs,248,232,480
170767,Garrigoles,104,78,182
170773,Garriguella,499,490,989
080898,Gavà,23450,24793,48243
250984,Gavet de la Conca,127,125,252
080919,Gelida,4136,4062,8198
170789,Ger,272,229,501
259123,Gimenells i el Pla de la Font,577,492,1069
430672,Ginestar,414,386,800
170792,Girona,52704,55962,108666
080924,Gironella,2517,2566,5083
080930,Gisclareny,15,13,28
430688,Godall,297,294,591
250997,Golmés,964,945,1909
170806,Gombrèn,102,104,206
251001,Gósol,114,91,205
080945,"Granada, la",1135,1152,2287
251018,"Granadella, la",419,329,748
080958,Granera,54,30,84
251023,"Granja d'Escarp, la",574,420,994
080961,Granollers,32554,32787,65341
251039,Granyanella,85,69,154
251057,Granyena de les Garrigues,104,70,174
251044,Granyena de Segarra,81,68,149
430691,Gratallops,130,96,226
080977,Gualba,906,860,1766
170813,Gualta,266,172,438
080996,Guardiola de Berguedà,490,474,964
430705,"Guiamets, els",128,126,254
170828,Guils de Cerdanya,290,267,557
251095,Guimerà,133,117,250
259031,"Guingueta d'Àneu, la",157,121,278
251109,Guissona,4181,3593,7774
251116,Guixers,74,51,125
081000,Gurb,1412,1329,2741
430712,Horta de Sant Joan,597,553,1150
081017,"Hospitalet de Llobregat, l'",141488,148022,289510
081629,"Hostalets de Pierola, els",1663,1595,3258
170834,Hostalric,2268,2225,4493
081022,Igualada,20801,21284,42085
251155,Isona i Conca Dellà,559,479,1038
170849,Isòvol,172,142,314
251137,Ivars d'Urgell,855,723,1578
251121,Ivars de Noguera,168,149,317
251142,Ivorra,61,39,100
170852,Jafre,199,187,386
170865,"Jonquera, la",1712,1708,3420
081038,Jorba,436,414,850
259101,Josa i Tuixén,63,47,110
170871,Juià,164,155,319
251180,Juncosa,202,175,377
251193,Juneda,1838,1615,3453
251214,Les,543,493,1036
251229,Linyola,1391,1371,2762
081043,"Llacuna, la",489,470,959
170887,Lladó,412,410,822
251235,Lladorre,133,113,246
251240,Lladurs,99,87,186
081056,"Llagosta, la",6579,6701,13280
170890,Llagostera,4841,4744,9585
170904,Llambilles,380,357,737
170911,Llanars,255,261,516
170926,Llançà,2422,2470,4892
251253,Llardecans,237,207,444
251266,Llavorsí,165,177,342
251207,Lleida,73508,72758,146266
170932,Llers,641,628,1269
251272,Lles de Cerdanya,169,121,290
081075,Lliçà d'Amunt,8371,8169,16540
081081,Lliçà de Vall,3498,3405,6903
251288,Llimiana,75,55,130
081069,Llinars del Vallès,5433,5523,10956
170947,Llívia,794,768,1562
430727,"Lloar, el",51,48,99
251291,Llobera,117,84,201
430733,Llorac,59,46,105
430748,Llorenç del Penedès,1197,1228,2425
170950,Lloret de Mar,21715,21285,43000
170963,"Llosses, les",111,86,197
081094,Lluçà,140,141,281
171024,Maçanet de Cabrenys,383,378,761
171030,Maçanet de la Selva,4166,3905,8071
170979,Madremanya,144,136,280
170985,Maià de Montcal,266,232,498
251333,Maials,526,425,951
251305,Maldà,117,122,239
081108,Malgrat de Mar,9747,9967,19714
081115,Malla,144,141,285
081120,Manlleu,10724,10701,21425
081136,Manresa,39823,41151,80974
430764,Marçà,334,289,623
430751,Margalef,64,42,106
082423,Marganell,154,155,309
081141,Martorell,14727,14448,29175
081154,Martorelles,2516,2476,4992
430770,Mas de Barberans,270,265,535
171002,Masarac i Vilarnadal,155,132,287
430786,Masdenverge,604,534,1138
081167,"Masies de Roda, les",391,367,758
081173,"Masies de Voltregà, les",1677,1668,3345
430799,Masllorenç,319,254,573
081189,"Masnou, el",11920,12841,24761
430803,"Masó, la",160,147,307
430810,Maspujols,475,440,915
081192,Masquefa,5139,4981,10120
430825,"Masroig, el",263,210,473
251312,Massalcoreig,328,264,592
171019,Massanes,459,423,882
251327,Massoteres,118,109,227
081206,Matadepera,4909,4867,9776
081213,Mataró,65250,66433,131683
081228,Mediona,1383,1275,2658
251348,Menàrguens,423,375,798
170998,Meranges,60,51,111
171058,Mieres,189,180,369
430831,"Milà, el",100,94,194
251351,Miralcamp,704,665,1369
430846,Miravet,373,330,703
081385,Moià,3534,3294,6828
430859,"Molar, el",149,146,295
081234,Molins de Rei,13297,14003,27300
251370,Mollerussa,8209,7554,15763
171061,Mollet de Peralada,104,98,202
081249,Mollet del Vallès,26078,26912,52990
171077,Molló,163,188,351
251364,"Molsosa, la",49,51,100
081287,Monistrol de Calders,396,368,764
081271,Monistrol de Montserrat,1683,1567,3250
171096,Montagut i Oix,529,482,1011
430862,Montblanc,3873,3669,7542
430884,Montbrió del Camp,1612,1545,3157
081252,Montcada i Reixac,18430,19030,37460
081304,Montclar,69,63,132
251399,Montellà i Martinet,315,283,598
081311,Montesquiu,562,569,1131
251403,Montferrer i Castellbò,616,545,1161
430897,Montferri,264,238,502
251386,Montgai,328,312,640
081265,Montgat,6312,6567,12879
081326,Montmajor,239,234,473
081332,Montmaneu,96,85,181
430901,"Montmell, el",1041,917,1958
081350,Montmeló,4391,4495,8886
251425,Montoliu de Lleida,254,234,488
251410,Montoliu de Segarra,101,79,180
251431,Montornès de Segarra,41,46,87
081363,Montornès del Vallès,8632,8470,17102
430918,Mont-ral,95,79,174
171100,Mont-ras,853,837,1690
430923,Mont-roig del Camp,7508,7107,14615
081379,Montseny,202,186,388
430939,Móra d'Ebre,2953,2858,5811
430944,Móra la Nova,1728,1622,3350
430957,"Morell, el",1934,1877,3811
430960,"Morera de Montsant, la",90,60,150
081290,Muntanyola,367,330,697
081398,Mura,124,111,235
251459,Nalec,49,42,91
250254,Naut Aran,985,917,1902
081402,Navarcles,3100,3176,6276
081419,Navàs,3094,3144,6238
171117,Navata,753,754,1507
251462,Navès,150,142,292
081424,"Nou de Berguedà, la",83,80,163
430976,"Nou de Gaià, la",305,298,603
430982,Nulles,294,257,551
251484,Odèn,129,102,231
081430,Òdena,1937,1823,3760
171122,Ogassa,130,92,222
081458,Olèrdola,2052,1893,3945
081461,Olesa de Bonesvalls,1110,1025,2135
081477,Olesa de Montserrat,12420,12546,24966
251497,Oliana,935,939,1874
251500,Oliola,102,90,192
251517,Olius,518,472,990
081483,Olivella,2297,2138,4435
081496,Olost,600,609,1209
171143,Olot,20174,19345,39519
251522,"Oluges, les",92,75,167
081445,Olvan,461,463,924
251538,"Omellons, els",98,89,187
251543,"Omells de na Gaia, els",69,57,126
171156,Ordis,224,185,409
251556,Organyà,445,408,853
081509,Orís,185,170,355
081516,Oristà,292,263,555
081521,Orpí,92,83,175
081537,Òrrius,414,398,812
251569,Os de Balaguer,550,538,1088
171169,Osor,232,198,430
251575,Ossó de Sió,104,94,198
081542,Pacs del Penedès,483,449,932
081555,Palafolls,5047,4991,10038
171175,Palafrugell,12216,12327,24543
171181,Palamós,9288,9645,18933
251581,"Palau d'Anglesola, el",1108,1124,2232
171194,Palau de Santa Eulàlia,70,54,124
171215,Palau-sator,172,139,311
171208,Palau-saverdera,770,765,1535
081568,Palau-solità i Plegamans,7631,7983,15614
431009,"Pallaresos, els",2550,2478,5028
081574,Pallejà,5957,6049,12006
430995,"Palma d'Ebre, la",167,166,333
089058,"Palma de Cervelló, la",1485,1571,3056
171236,Palol de Revardit,233,226,459
171241,Pals,1311,1223,2534
081580,"Papiol, el",2205,2199,4404
171254,Pardines,97,71,168
081593,Parets del Vallès,9447,9438,18885
171267,Parlavà,217,215,432
431016,Passanant i Belltall,95,54,149
